https://www.etuovi.com/kohde/k48694?sc=LRnomun_nodistr&pos=81,Viiala Naantali,Järvikallionkuja 4 as. 3,Rivitalo,4h+K+S,"100,0 m²",247 000 €,1999
https://www.etuovi.com/kohde/k48693?sc=LRnomun_nodistr&pos=82,Katajaranta Rovaniemi,Kivikatu 19C,Kerrostalo,2h + tupakeittiö+ sauna,"42,0 m²",145 000 €,2016
https://www.etuovi.com/kohde/1244701?sc=LRnomun_nodistr&pos=83,Klaukkala Nurmijärvi,Pikkutikankuja 3,Paritalo,"4h, k, kph, khh, var, wc, vh, s","100,0 m²",322 000 €,2015
https://www.etuovi.com/kohde/9434550?sc=LRnomun_nodistr&pos=84,Laitala Toholampi,Järvenojantie 3,Omakotitalo,Ala/yläkerta,"63,0 m²",29 000 €,1952
https://www.etuovi.com/kohde/9600824?sc=LRnomun_nodistr&pos=85,Karhuvuori Lappeenranta,Korpelankatu 6,Rivitalo,"3h, k, s, khh, terassi","78,5 m²",182 000 €,2008
https://www.etuovi.com/kohde/1244101?sc=LRnomun_nodistr&pos=86,Keskusta Kerava,Sibeliuksentie 21,Kerrostalo,"3h, k, kph, vh + lasitettu parveke","73,8 m²",180 000 €,1967
https://www.etuovi.com/kohde/9733581?sc=LRnomun_nodistr&pos=87,Järvensivu Tampere,Järvensivuntie 91,Rivitalo,"4h, k, th, 2x kph, wc, khh, 2x vh, las.p, piha, 2 ","131,0 m²",365 000 €,2004
https://www.etuovi.com/kohde/7879361?sc=LRnomun_nodistr&pos=88,Oulunkylä Helsinki,Hirsipadontie 1,Kerrostalo,"1h, kk, kph","35,5 m²",125 000 €,1972
https://www.etuovi.com/kohde/k48689?sc=LRnomun_nodistr&pos=89,Kaleva Harjavalta,Santakatu 4B2,Rivitalo,4h+k+s+at,"98,5 m²",49 990 €,1968
https://www.etuovi.com/kohde/7879620?sc=LRnomun_nodistr&pos=90,Ylhäisi Salo,Utiskantie 26,Omakotitalo,Tupakeittiö+3mh+aula+s+ph+2wc+khh,"154,0 m²",195 000 €,2003
https://www.etuovi.com/kohde/k48679?sc=LRnomun_nodistr&pos=101,Nummi Turku,Kirkkotie 16 A 81,Kerrostalo,2h+kt,"36,5 m²",212 400 €,2020
https://www.etuovi.com/kohde/k48678?sc=LRnomun_nodistr&pos=102,Nummi Turku,Kirkkotie 16 A 77,Kerrostalo,1h+kt+alk,"38,0 m²",196 400 €,2020
https://www.etuovi.com/kohde/k48676?sc=LRnomun_nodistr&pos=103,Nummi Turku,Kirkkotie 16 A 72,Kerrostalo,2h+kt+s,"53,0 m²",254 100 €,2020
https://www.etuovi.com/kohde/k48677?sc=LRnomun_nodistr&pos=104,Nummi Turku,Kirkkotie 16 A 73,Kerrostalo,2h+kt+s,"45,0 m²",229 000 €,2020
https://www.etuovi.com/kohde/k48674?sc=LRnomun_nodistr&pos=105,Nummi Turku,Kirkkotie 16 A 71,Kerrostalo,2h+kt,"36,5 m²",203 600 €,2020
https://www.etuovi.com/kohde/k48673?sc=LRnomun_nodistr&pos=106,Nummi Turku,Kirkkotie 16 A 69,Kerrostalo,1h+kt,"28,5 m²",168 400 €,2020
https://www.etuovi.com/kohde/k48672?sc=LRnomun_nodistr&pos=107,Nummi Turku,Kirkkotie 16 A 70,Kerrostalo,2h+kt,"36,5 m²",203 600 €,2020
https://www.etuovi.com/kohde/k48669?sc=LRnomun_nodistr&pos=108,Nummi Turku,Kirkkotie 16 A 68,Kerrostalo,1h+kt+alk,"37,0 m²",189 500 €,2020
https://www.etuovi.com/kohde/k48668?sc=LRnomun_nodistr&pos=109,Nummi Turku,Kirkkotie 16 A 61,Kerrostalo,2h+kt+s,"53,0 m²",247 400 €,2020
https://www.etuovi.com/kohde/k48667?sc=LRnomun_nodistr&pos=110,Nummi Turku,Kirkkotie 16 A 66,Kerrostalo,1h+kt+alk,"38,0 m²",192 100 €,2020
https://www.etuovi.com/kohde/k48666?sc=LRnomun_nodistr&pos=111,Nummi Turku,Kirkkotie 16 A 60,Kerrostalo,2h+kt,"36,5 m²",198 300 €,2020
https://www.etuovi.com/kohde/k48664?sc=LRnomun_nodistr&pos=112,Nummi Turku,Kirkkotie 16 A 62,Kerrostalo,2h+kt+s,"45,0 m²",225 200 €,2020
https://www.etuovi.com/kohde/k48663?sc=LRnomun_nodistr&pos=113,Nummi Turku,Kirkkotie 16 A 57,Kerrostalo,1h+kt+alk,"37,0 m²",184 500 €,2020
https://www.etuovi.com/kohde/k48662?sc=LRnomun_nodistr&pos=114,Nummi Turku,Kirkkotie 16 A 55,Kerrostalo,1h+kt+alk,"38,0 m²",187 100 €,2020
https://www.etuovi.com/kohde/k48649?sc=LRnomun_nodistr&pos=115,Nummi Turku,Kirkkotie 16 A 59,Kerrostalo,2h+kt,"36,5 m²",198 300 €,2020
https://www.etuovi.com/kohde/k48648?sc=LRnomun_nodistr&pos=116,Nummi Turku,Kirkkotie 16 A 51,Kerrostalo,2h+kt+s,"45,0 m²",219 200 €,2020
https://www.etuovi.com/kohde/k48647?sc=LRnomun_nodistr&pos=117,Nummi Turku,Kirkkotie 16 A 50,Kerrostalo,2h+kt+s,"53,0 m²",240 800 €,2020
https://www.etuovi.com/kohde/k48646?sc=LRnomun_nodistr&pos=118,Nummi Turku,Kirkkotie 16 A 49,Kerrostalo,2h+kt,"36,5 m²",193 000 €,2020
https://www.etuovi.com/kohde/k48644?sc=LRnomun_nodistr&pos=119,Nummi Turku,Kirkkotie 16 A 48,Kerrostalo,2h+kt,"36,5 m²",193 000 €,2020
https://www.etuovi.com/kohde/k48643?sc=LRnomun_nodistr&pos=120,Nummi Turku,Kirkkotie 16 A 46,Kerrostalo,1h+kt+alk,"37,0 m²",179 600 €,2020
https://www.etuovi.com/kohde/k48642?sc=LRnomun_nodistr&pos=121,Nummi Turku,Kirkkotie 16 A 44,Kerrostalo,1h+kt+alk,"38,0 m²",180 200 €,2020
https://www.etuovi.com/kohde/k48639?sc=LRnomun_nodistr&pos=122,Nummi Turku,Kirkkotie 16 A 35,Kerrostalo,1h+kt+alk,"37,0 m²",174 600 €,2020
https://www.etuovi.com/kohde/k48638?sc=LRnomun_nodistr&pos=123,Nummi Turku,Kirkkotie 16 A 37,Kerrostalo,2h+kt,"36,5 m²",187 600 €,2020
https://www.etuovi.com/kohde/k48637?sc=LRnomun_nodistr&pos=124,Nummi Turku,Kirkkotie 16 A 39,Kerrostalo,2h+kt+s,"53,0 m²",234 200 €,2020
https://www.etuovi.com/kohde/k48636?sc=LRnomun_nodistr&pos=125,Nummi Turku,Kirkkotie 16 A 33,Kerrostalo,1h+kt+alk,"38,0 m²",177 100 €,2020
https://www.etuovi.com/kohde/k48634?sc=LRnomun_nodistr&pos=126,Nummi Turku,Kirkkotie 16 A 29,Kerrostalo,2h+kt+s,"45,0 m²",207 100 €,2020
https://www.etuovi.com/kohde/k48633?sc=LRnomun_nodistr&pos=127,Nummi Turku,Kirkkotie 16 A 40,Kerrostalo,2h+kt+s,"45,0 m²",213 200 €,2020
https://www.etuovi.com/kohde/k48632?sc=LRnomun_nodistr&pos=128,Nummi Turku,Kirkkotie 16 A 28,Kerrostalo,2h+kt+s,"53,0 m²",227 600 €,2020
https://www.etuovi.com/kohde/k48629?sc=LRnomun_nodistr&pos=129,Nummi Turku,Kirkkotie 16 A 24,Kerrostalo,1h+kt+alk,"37,0 m²",171 400 €,2020
https://www.etuovi.com/kohde/k48628?sc=LRnomun_nodistr&pos=130,Nummi Turku,Kirkkotie 16 A 1,Kerrostalo,1h+kt+alk,"38,0 m²",160 200 €,2020
https://www.etuovi.com/kohde/k48627?sc=LRnomun_nodistr&pos=131,Nummi Turku,Kirkkotie 16 A 22,Kerrostalo,1h+kt+alk,"38,0 m²",173 800 €,2020
https://www.etuovi.com/kohde/k48626?sc=LRnomun_nodistr&pos=132,Nummi Turku,Kirkkotie 16 A 17,Kerrostalo,2h+kt+s,"53,0 m²",220 900 €,2020
https://www.etuovi.com/kohde/k48624?sc=LRnomun_nodistr&pos=133,Nummi Turku,Kirkkotie 16 A 11,Kerrostalo,1h+kt+alk,"38,0 m²",170 400 €,2020
https://www.etuovi.com/kohde/k48623?sc=LRnomun_nodistr&pos=134,Nummi Turku,Kirkkotie 16 A 8,Kerrostalo,2h+kt+s,"45,0 m²",185 800 €,2020
https://www.etuovi.com/kohde/k48622?sc=LRnomun_nodistr&pos=135,Nummi Turku,Kirkkotie 16 A 18,Kerrostalo,2h+kt+s,"45,0 m²",201 100 €,2020
https://www.etuovi.com/kohde/k48499?sc=LRnomun_nodistr&pos=136,Nummi Turku,Kirkkotie 16 A 7,Kerrostalo,2h+kt+s,"53,0 m²",206 100 €,2020
https://www.etuovi.com/kohde/646785?sc=LRnomun_nodistr&pos=137,Naarajärvi Pieksämäki,Mikontie 8 A,Rivitalo,"2h, kk, s","49,5 m²",47 500 €,1977
https://www.etuovi.com/kohde/646713?sc=LRnomun_nodistr&pos=138,Koivistonmäki Riihimäki,Lopentie 15 - 17 A,Kerrostalo,"2h, k, s, p","62,0 m²",123 000 €,1986
https://www.etuovi.com/kohde/646765?sc=LRnomun_nodistr&pos=139,Pääskylahti Savonlinna,Vipusenkatu 5 B,Kerrostalo,"4h,k,kph,wc","87,5 m²",75 000 €,1969
https://www.etuovi.com/kohde/644370?sc=LRnomun_nodistr&pos=140,Korkalovaara Rovaniemi,Kaamoskuja 9 B,Kerrostalo,"2h,k,las.p","61,0 m²",47 000 €,1973
https://www.etuovi.com/kohde/644358?sc=LRnomun_nodistr&pos=141,Amuri Tampere,Pirkankatu 16 A,Kerrostalo,"1h,kt,kph,alkovi","49,0 m²",165 000 €,1928
https://www.etuovi.com/kohde/641077?sc=LRnomun_nodistr&pos=142,Nahkuri Ulvila,Tuusaajantie 2,Omakotitalo,5h+k+yläaula+s+kps+2 wc+2 vh,"172,0 m²",168 000 €,1990
https://www.etuovi.com/kohde/k48489?sc=LRnomun_nodistr&pos=143,Kangas Jyväskylä,Rusokinkatu 10 A 32,Kerrostalo,2h+kt,"46,5 m²",216 000 €,2019
https://www.etuovi.com/kohde/k48488?sc=LRnomun_nodistr&pos=144,Kangas Jyväskylä,Rusokinkatu 10 A 28,Kerrostalo,2h+kt+s,"53,5 m²",242 000 €,2019
https://www.etuovi.com/kohde/k48487?sc=LRnomun_nodistr&pos=145,Kangas Jyväskylä,Rusokinkatu 10 A 29,Kerrostalo,3-4h+kt+s,"73,0 m²",322 000 €,2019
https://www.etuovi.com/kohde/k48486?sc=LRnomun_nodistr&pos=146,Kangas Jyväskylä,Rusokinkatu 10 A 25,Kerrostalo,2h+kt,"41,5 m²",204 000 €,2019
https://www.etuovi.com/kohde/k48484?sc=LRnomun_nodistr&pos=147,Kangas Jyväskylä,Rusokinkatu 10 A 31,Kerrostalo,1h+kt,"26,5 m²",154 000 €,2019
https://www.etuovi.com/kohde/k48483?sc=LRnomun_nodistr&pos=148,Kangas Jyväskylä,Rusokinkatu 10 A 30,Kerrostalo,2h+kt,"41,5 m²",209 000 €,2019
https://www.etuovi.com/kohde/k48482?sc=LRnomun_nodistr&pos=149,Kangas Jyväskylä,Rusokinkatu 10 A 24,Kerrostalo,3-4h+kt+s,"73,5 m²",315 000 €,2019
https://www.etuovi.com/kohde/k48479?sc=LRnomun_nodistr&pos=150,Kangas Jyväskylä,Rusokinkatu 10 A 27,Kerrostalo,2h+kt,"46,5 m²",211 000 €,2019
https://www.etuovi.com/kohde/k48478?sc=LRnomun_nodistr&pos=151,Kangas Jyväskylä,Rusokinkatu 10 A 26,Kerrostalo,1h+kt,"26,5 m²",150 000 €,2019
https://www.etuovi.com/kohde/k48477?sc=LRnomun_nodistr&pos=152,Kangas Jyväskylä,Rusokinkatu 10 A 23,Kerrostalo,2h+kt+s,"53,5 m²",235 000 €,2019
https://www.etuovi.com/kohde/k48476?sc=LRnomun_nodistr&pos=153,Kangas Jyväskylä,Rusokinkatu 10 A 18,Kerrostalo,2h+kt+s,"54,0 m²",230 000 €,2019
https://www.etuovi.com/kohde/k48474?sc=LRnomun_nodistr&pos=154,Kangas Jyväskylä,Rusokinkatu 10 A 20,Kerrostalo,2h+kt,"41,5 m²",199 000 €,2019
https://www.etuovi.com/kohde/k48473?sc=LRnomun_nodistr&pos=155,Kangas Jyväskylä,Rusokinkatu 10 A 14,Kerrostalo,3-4h+kt+s,"73,5 m²",291 000 €,2019
https://www.etuovi.com/kohde/k48472?sc=LRnomun_nodistr&pos=156,Kangas Jyväskylä,Rusokinkatu 10 A 16,Kerrostalo,1h+kt,"26,5 m²",142 000 €,2019
https://www.etuovi.com/kohde/k48469?sc=LRnomun_nodistr&pos=157,Kangas Jyväskylä,Rusokinkatu 10 A 19,Kerrostalo,3-4h+kt+s,"73,5 m²",307 000 €,2019
https://www.etuovi.com/kohde/k48468?sc=LRnomun_nodistr&pos=158,Kangas Jyväskylä,Rusokinkatu 10 A 22,Kerrostalo,2h+kt,"46,5 m²",205 000 €,2019
https://www.etuovi.com/kohde/k48467?sc=LRnomun_nodistr&pos=159,Kangas Jyväskylä,Rusokinkatu 10 A 15,Kerrostalo,2h+kt,"41,5 m²",193 000 €,2019
https://www.etuovi.com/kohde/k48466?sc=LRnomun_nodistr&pos=160,Kangas Jyväskylä,Rusokinkatu 10 A 21,Kerrostalo,1h+kt,"26,5 m²",146 000 €,2019
https://www.etuovi.com/kohde/k48464?sc=LRnomun_nodistr&pos=161,Kangas Jyväskylä,Rusokinkatu 10 A 17,Kerrostalo,2h+kt,"46,5 m²",199 000 €,2019
https://www.etuovi.com/kohde/k48463?sc=LRnomun_nodistr&pos=162,Kangas Jyväskylä,Rusokinkatu 10 A 12,Kerrostalo,2h+kt,"46,5 m²",194 000 €,2019
https://www.etuovi.com/kohde/k48462?sc=LRnomun_nodistr&pos=163,Kangas Jyväskylä,Rusokinkatu 10 A 10,Kerrostalo,2h+kt,"41,5 m²",187 000 €,2019
https://www.etuovi.com/kohde/640685?sc=LRnomun_nodistr&pos=164,Ylivieska,Kauppakuja 3 as,Kerrostalo,2h+k+kh,"47,0 m²",55 000 €,1985
https://www.etuovi.com/kohde/k48449?sc=LRnomun_nodistr&pos=165,Kangas Jyväskylä,Rusokinkatu 10 A 13,Kerrostalo,2h+kt+s,"54,0 m²",224 000 €,2019
https://www.etuovi.com/kohde/k48448?sc=LRnomun_nodistr&pos=166,Kangas Jyväskylä,Rusokinkatu 10 A 11,Kerrostalo,1h+kt,"26,5 m²",138 000 €,2019
https://www.etuovi.com/kohde/k48447?sc=LRnomun_nodistr&pos=167,Kangas Jyväskylä,Rusokinkatu 10 A 8,Kerrostalo,2h+kt+s,"54,0 m²",218 000 €,2019
https://www.etuovi.com/kohde/k48446?sc=LRnomun_nodistr&pos=168,Kangas Jyväskylä,Rusokinkatu 10 A 6,Kerrostalo,1h+kt,"26,5 m²",134 000 €,2019
